id,child,trial,age,year_group,competition_order,age_group,country,gender,cost,competition,relation,fairness,allocation,justification
C2C05,30,2,53,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2C06,31,2,49,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2C07,32,2,50,Jonior,control first,Younger,CN,Female,NOcost,Competition,Friend,Fair,Fair,Conduct
C2C08,33,2,52,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Affiliation
C2C09,34,2,48,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2C10,35,2,49,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2C11,36,2,46,Jonior,control first,Younger,CN,Female,NOcost,Competition,Friend,Fair,Fair,Norm
C2C12,37,2,46,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Desire
C2C13,38,2,53,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2C14,39,2,53,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2C15,40,2,48,Jonior,control first,Younger,CN,Female,NOcost,Competition,Friend,Fair,Fair,Norm
C2C16,41,2,49,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2C17,42,2,47,Jonior,control first,Younger,CN,Female,NOcost,Competition,Friend,Fair,Fair,Affiliation
C2C18,43,2,51,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Unfair,UFdis,Conduct
C2C19,44,2,48,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Unfair,UFdis,Conduct
C2C20,45,2,42,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2C21,46,2,52,Jonior,control first,Younger,CN,Female,NOcost,Competition,Friend,Fair,Fair,Norm
C2C23,47,2,38,Jonior,control first,Younger,CN,Female,NOcost,Competition,Friend,Fair,Fair,Norm
C2C22,48,2,47,Jonior,control first,Younger,CN,Female,NOcost,Competition,Friend,Fair,Fair,Norm
C2C24,49,2,44,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Unfair,UFdis,Affiliation
C2C25,50,2,44,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Unfair,UFad,Desire
